Fold,RF_Acc,RF_BalAcc,RF_F1,RF_ROC,RF_Prec,RF_Rec,SVM_Acc,SVM_BalAcc,SVM_F1,SVM_ROC,SVM_Prec,SVM_Rec,XGB_Acc,XGB_BalAcc,XGB_F1,XGB_ROC,XGB_Prec,XGB_Rec,LGB_Acc,LGB_BalAcc,LGB_F1,LGB_ROC,LGB_Prec,LGB_Rec,FCNN32_Acc,FCNN32_BalAcc,FCNN32_F1,FCNN32_ROC,FCNN32_Prec,FCNN32_Rec,FCNN8_Acc,FCNN8_BalAcc,FCNN8_F1,FCNN8_ROC,FCNN8_Prec,FCNN8_Rec,AE32_Acc,AE32_BalAcc,AE32_F1,AE32_ROC,AE32_Prec,AE32_Rec,AE8_Acc,AE8_BalAcc,AE8_F1,AE8_ROC,AE8_Prec,AE8_Rec
1,0.998511639,0.955231503,0.973214699,0.986932026,0.997372926,0.955231503,0.9071251666984188,0.8708692639863925,0.8608858040533007,0.944071044,0.8792170183133972,0.8708692639863925,0.9989283800678692,0.9629074417935268,0.965674809,0.999900345,0.968558027,0.962907442,0.99823776,0.9718890075489578,0.982941103,0.9993033152692039,0.995495605,0.9718890075489578,0.9948323490188608,0.9353126373771068,0.9468868105003806,0.9991995407719352,0.9650751768157144,0.9353126373771068,0.984282721,0.9479339203808075,0.9515577308341336,0.9991344113528181,0.9608143783411988,0.9479339203808075,0.9909982853876927,0.9303751131668404,0.9482737637868438,0.9992601198091248,0.9754848100062457,0.9303751131668404,0.9903314917127072,0.9437495896264371,0.9422631501107896,0.9993243264823257,0.9433167755353757,0.9437495896264371
2,0.998547342,0.9724786,0.9832799941496788,0.9929800625053048,0.995583469,0.9724786,0.9589445608687368,0.8546966492473651,0.8694480659146866,0.9428243909230638,0.9214714608204568,0.8546966492473651,0.9988569251285959,0.9784713321826183,0.9696970072535536,0.9999793054276375,0.9684304072791853,0.9784713321826183,0.9982139455134311,0.9691499039051016,0.9821696567114255,0.9993078260151322,0.9972284262149683,0.9691499039051016,0.9949990474376073,0.9341473534642204,0.9454064711346172,0.9989104696059043,0.96316296,0.9341473534642204,0.9904267479519908,0.9500206155034963,0.9575512278715649,0.9985304234548776,0.9679329251907745,0.9500206155034963,0.9957849114116974,0.9529319002800888,0.9625082330371986,0.997905258,0.9744616737296544,0.9529319002800888,0.9909268432082301,0.9370238275418561,0.9458157502130125,0.9994223540862761,0.9582771795513115,0.9370238275418561
3,0.9983568298723566,0.9706293521834082,0.9770638182070626,0.9923644827352862,0.9857830555268694,0.9706293521834082,0.9318917889121736,0.8172531967630839,0.831200926,0.945225267,0.8761577952409242,0.8172531967630839,0.9988807391884168,0.9779676868453175,0.9691590869239604,0.999983573,0.9678034651800154,0.9779676868453175,0.99823776,0.956754079,0.9753850277286998,0.9994032330304367,0.9971497217316792,0.956754079,0.9945465803010096,0.928936443,0.9521487549625728,0.9990560892564304,0.9840461613339304,0.928936443,0.9909982853876929,0.9269035433338467,0.9418631971519231,0.9992313294684274,0.9643936859112008,0.9269035433338467,0.9952848161554582,0.931423168,0.9485846142083956,0.9992001138429916,0.974052351,0.931423168,0.9911411697466184,0.9330638935634147,0.9508071443378796,0.9994996140023408,0.9717092703862547,0.9330638935634147
4,0.9984759001714612,0.973833583,0.9840094299090704,0.9929321369264362,0.9955803514919168,0.973833583,0.5821108782625262,0.7873416736193982,0.7657320841704943,0.9390872091764216,0.863511984,0.7873416736193982,0.9989283673080587,0.978279315,0.9871804667568198,0.9999706710181856,0.997432972,0.978279315,0.9981425033339684,0.9674434803390957,0.9811131297526354,0.9984692388386845,0.9970717963267984,0.9674434803390957,0.9949514193179654,0.935418571,0.9456373893300288,0.9991160536236012,0.9611294234645776,0.935418571,0.9909506572680511,0.9404342672619129,0.95274281,0.9992146183641282,0.9713585306154123,0.9404342672619129,0.9957849114116974,0.9337256008549636,0.9572553144655608,0.9975647318192398,0.9895990102669808,0.9337256008549636,0.9911887978662602,0.9411767469203626,0.955871734,0.998908312,0.9773057898638082,0.9411767469203626
5,0.9984044579919984,0.96653749,0.978368583,0.993410684,0.9919879325469046,0.96653749,0.9534435130501048,0.8404191765292695,0.8641847050046795,0.9417722712939912,0.9017319874711526,0.8404191765292695,0.998809297,0.9792818772248499,0.9880286904019774,0.999982239,0.9980475199733706,0.9792818772248499,0.9980472470946847,0.9628303757697041,0.9775713803809628,0.998557638,0.9951760016973237,0.9628303757697041,0.9951419317965328,0.9372268595430656,0.9582908336330817,0.999177476,0.9851610404527732,0.9372268595430656,0.98252048,0.9396057475679894,0.9428744669466013,0.9989364820314959,0.9572410401226745,0.9396057475679894,0.9945227662411888,0.9462207440598672,0.9569714562787188,0.999229308,0.9710398008512766,0.9462207440598672,0.9865688702610022,0.9329520518778358,0.9408634502904609,0.9990720763755581,0.9540581386688842,0.9329520518778358
6,0.9984759001714612,0.9659073515987135,0.9795090679980176,0.9930643191681058,0.9954096015942352,0.9659073515987135,0.7173985521051629,0.8083497746481412,0.8019494851070829,0.9603792869487124,0.8917966992654771,0.8083497746481412,0.9989283673080587,0.9780581305887583,0.9699330530000313,0.9999853768447345,0.9693071207564441,0.9780581305887583,0.9980234330348637,0.9627763420582979,0.9776604034092499,0.9983850564145764,0.9954053108086777,0.9627763420582979,0.9951419317965328,0.9254219205287372,0.9446462386481246,0.9993398640671256,0.9761818964075052,0.9254219205287372,0.9872832920556296,0.9471922260539074,0.9537525246945309,0.9993452823475872,0.9648637500698148,0.9471922260539074,0.9951657458563536,0.9432599727709684,0.9621921163958654,0.9993535054778052,0.985521816,0.9432599727709684,0.9900457229948562,0.9354818849104013,0.9466136299402991,0.9995059156522734,0.9618968989673179,0.9354818849104013
7,0.998547342,0.973935065,0.9839617499254284,0.993081771,0.9953856623030248,0.973935065,0.9555153362545248,0.8806552692772709,0.8888202203968163,0.9501431683273932,0.9195463614013096,0.8806552692772709,0.998809297,0.9779925859433796,0.969315054,0.999978691,0.9681897117238758,0.9779925859433796,0.9980234330348637,0.9669182139074837,0.97948216,0.9985568699451746,0.994017824,0.9669182139074837,0.99507049,0.934377823,0.945627983,0.9991849763688913,0.96336833,0.934377823,0.9851876547913888,0.9474640789525867,0.9520447729817578,0.998598883,0.9631820811563401,0.9474640789525867,0.9954991426938464,0.945251731,0.9650140715110426,0.999434121,0.9895522278089346,0.945251731,0.9897361402171843,0.9338393255907244,0.9365094588049158,0.9996867687692622,0.9407521004302868,0.9338393255907244
8,0.9983806439321776,0.9677594413462912,0.9805768738311844,0.9934399563555284,0.995416453,0.9677594413462912,0.6957515717279482,0.8045276159826299,0.7960223238396462,0.9481888500448632,0.8872388384460334,0.8045276159826299,0.9988569251285959,0.9782274378657992,0.969480778,0.9999788397069765,0.9682863257404185,0.9782274378657992,0.9982853876928939,0.9693421162795315,0.9822662175817386,0.9994109756917287,0.9972270226066692,0.9693421162795315,0.9948561630786816,0.9350844636103196,0.9564632099253244,0.9978375186699971,0.9837964924752446,0.9350844636103196,0.9894027433796914,0.9424135714071984,0.9534628390770389,0.999158904,0.9707330405398391,0.9424135714071984,0.9954277005143836,0.934593072,0.9554181571294128,0.9992826432478138,0.9824208253544616,0.934593072,0.989498,0.9390632246019067,0.9449040823191208,0.9996451409283428,0.954044067,0.9390632246019067
9,0.9983092017527148,0.9704393658608558,0.9766984371147304,0.9918520628606218,0.9852437771004888,0.9704393658608558,0.922485235,0.8102234668045265,0.8296218481112363,0.9435666655342166,0.8733993574011488,0.8102234668045265,0.9987854829491332,0.9764409613176969,0.9747051288419777,0.9999564693577265,0.9738593863964848,0.9764409613176969,0.9980710611545056,0.9659392074068058,0.9802607036573696,0.9991544091012124,0.9971562437968616,0.9659392074068058,0.995022861,0.9326479158618752,0.9453280951443234,0.9987134352345453,0.9657562932772332,0.9326479158618752,0.9904029338921699,0.9354270622998075,0.9491933012452858,0.9987292887721981,0.9721526732927311,0.9354270622998075,0.9960944941893694,0.9536366176910404,0.968706205,0.9995227049779706,0.9872809906226744,0.9536366176910404,0.9910220994475138,0.9378492711216798,0.9574243127369214,0.9990515920731441,0.9816379907475128,0.9378492711216798
10,0.998499714,0.9723815474372728,0.983323924,0.9930382996190252,0.995766813,0.9723815474372728,0.6819156029719947,0.7841550128090051,0.7724422460213324,0.9299462982283392,0.85016458,0.7841550128090051,0.998809297,0.976911206,0.9693834682195998,0.9999824320917614,0.9694237244692256,0.976911206,0.997975805,0.964142363,0.9791451488861005,0.9985184474133407,0.9970497158699706,0.964142363,0.9949037911983236,0.9355861022914824,0.9579233290798465,0.998502467,0.9873294985511248,0.9355861022914824,0.9858782625261955,0.9471205213165163,0.951544893,0.9993898795094078,0.9602617709120161,0.9471205213165163,0.995380072,0.9315246729231442,0.9481013189126218,0.9994310525765994,0.9711747000885536,0.9315246729231442,0.9901886073537817,0.9466578224027978,0.945038248,0.999458096,0.9463130674597486,0.9466578224027978
